id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,12310,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19913403.0,19913403.0,False,,1,,,,2025-08-29T21:04:00.000Z,107577.26124196866,76489949892.34091,26.2805,-0.53546278,-3.88102994,-8.0151323,-8.15133919,0.04315008,2.55568592,2142229356747.6025,57.3156,2259122486081.34,,2025-08-29T21:04:00.000Z,,,,,,2025-08-30 04:05:32.138826
1027,Ethereum,ETH,ethereum,10488,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,120706696.75056934,120706696.75056934,True,,2,,,,2025-08-29T21:04:00.000Z,4313.274325238665,46671772975.170654,20.3266,-0.73601425,-3.36018505,-11.32536484,14.42912797,72.42327337,69.28185985,520641095978.60016,13.9277,520641095978.6,,2025-08-29T21:04:00.000Z,,,,,,2025-08-30 04:05:32.138826
825,Tether USDt,USDT,tether,144456,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'zedxion-smart-chain-ecosystem']",,167356013557.1224,171732955317.96826,True,,3,,,,2025-08-29T21:03:00.000Z,1.0008911144304167,141218794335.1896,24.308,0.08968849,0.08974911,0.09812553,0.12369349,0.03628043,0.05618641,167505146915.82016,4.4808,171885989032.63,,2025-08-29T21:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-08-30 04:05:32.138826
52,XRP,XRP,xrp,1692,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59482264023.0,99985819185.0,False,,4,,,,2025-08-29T21:04:00.000Z,2.7816656426838096,8187340061.901846,31.7337,-1.34069435,-5.74497382,-9.96211457,-10.11365801,21.38601767,26.66344393,165459770181.82632,4.4261,278166564268.38,,2025-08-29T21:04:00.000Z,,,,,,2025-08-30 04:05:32.138826
1839,BNB,BNB,bnb,2694,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,139187881.35,139187881.35,False,,5,,,,2025-08-29T21:03:00.000Z,855.826503211754,2606008132.004594,-6.8648,-0.30882014,-1.59491842,-4.46414317,8.87335369,29.82789933,29.51495935,119120677785.223,3.1866,119120677785.22,,2025-08-29T21:03:00.000Z,,,,,,2025-08-30 04:05:32.138826
5426,Solana,SOL,solana,987,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,540795592.6613195,608616188.7094171,True,,6,525236893.3,105321563181.36403,,2025-08-29T21:04:00.000Z,200.52202068221322,14011361392.338045,13.9341,-1.4262227,-6.09829874,0.0854447,13.7786056,28.13711415,27.16816385,108441425016.48286,2.9009,122040947979.92,,2025-08-29T21:04:00.000Z,,,,,,2025-08-30 04:05:32.138826
3408,USDC,USDC,usd-coin,31033,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem']",,71536328492.20554,71536328492.20554,False,,7,60901219650.23,60909313781.28088,,2025-08-29T21:04:00.000Z,1.0001329058941244,20583532201.837666,26.6642,0.02979199,0.0276197,0.01869615,0.03422023,0.00014813,0.02987916,71545836091.90617,1.9142,71545836091.91,,2025-08-29T21:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-08-30 04:05:32.138826
1958,TRON,TRX,tron,1223,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94657714120.4264,94657712334.84111,True,,8,94667886298.43,31875444591.8923,,2025-08-29T21:04:00.000Z,0.33670810491541453,1244975861.1574073,42.6605,-0.11679799,-1.97701254,-8.09506774,2.59150054,20.36281252,26.41072693,31872019537.11385,0.8526,31872018935.89,,2025-08-29T21:04:00.000Z,,,,,,2025-08-30 04:05:32.138826
74,Dogecoin,DOGE,dogecoin,1285,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,150723696383.70526,150723696383.70526,True,,9,,,,2025-08-29T21:04:00.000Z,0.21038037498011836,2587838772.3460574,31.877,-0.79950644,-4.96057036,-12.23788096,-3.58764939,26.01767254,7.96598294,31709307763.593422,0.8487,31709307763.59,,2025-08-29T21:04:00.000Z,,,,,,2025-08-30 04:05:32.138826
2010,Cardano,ADA,cardano,1575,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35731844808.46489,44994681861.70843,False,,10,37997904336.0,30869173044.577633,,2025-08-29T21:04:00.000Z,0.8123914616873105,1691021407.4883008,37.8579,-1.06365251,-4.04577229,-13.26363296,6.77473734,39.0254693,17.49455195,29028245632.73293,0.7769,36557615775.93,,2025-08-29T21:04:00.000Z,,,,,,2025-08-30 04:05:32.138826
